STATION_NUMBER	STATION_NAME	PROV_TERR_STATE_LOC	HYD_STATUS
01AA002	DAAQUAM (RIVIERE) EN AVAL DE LA RIVIERE SHIDGEL	QC	Discontinued
01AD001	MADAWASKA (RIVI?RE) ? 6 KM EN AVAL DU BARRAGE TêMISCOUATA	QC	Discontinued
01AD002	SAINT JOHN RIVER AT FORT KENT	ME	Active
01AD003	ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE	NB	Active
01AD004	SAINT JOHN RIVER AT EDMUNDSTON	NB	Active
01AD005	MADAWASKA (RIVIERE) AU RESERVOIR TEMISCOUATA	QC	Discontinued
01AD008	LONG (LAC) PRES DE LES ETROITS	QC	Discontinued
01AD009	CABANO (RIVIERE) AU LAC LONG	QC	Discontinued
01AD012	SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS	QC	Discontinued
01AD013	SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS	QC	Discontinued
01AD014	POHENEGAMOOK (LAC) A ESTCOURT	QC	Discontinued
01AD015	MADAWASKA (RIVI?RE) ? 6 KM EN AVAL DU BARRAGE TêMISCOUATA	QC	Active
01AE001	FISH RIVER NEAR FORT KENT	ME	Active
01AF002	SAINT JOHN RIVER AT GRAND FALLS	NB	Active
01AF003	GREEN RIVER NEAR RIVIERE-VERTE	NB	Discontinued
01AF006	BLACK BROOK NEAR ST-ANDRE-DE-MADAWASKA	NB	Discontinued
01AF007	GRANDE RIVIERE AT VIOLETTE BRIDGE	NB	Active
01AF008	SAINT JOHN RIVER AT THE FALLS AT GRAND FALLS	NB	Discontinued
01AF009	IROQUOIS RIVER AT MOULIN MORNEAULT	NB	Active
01AF010	GREEN RIVER AT DEUXIEME SAULT	NB	Discontinued
01AF011	LITTLE RIVER NEAR GRAND FALLS	NB	Discontinued
01AG002	LIMESTONE STREAM AT FOUR FALLS	NB	Discontinued
01AG003	AROOSTOOK RIVER NEAR TINKER	NB	Active
01AH001	TOBIQUE RIVER AT ARTHURETTE	NB	Discontinued
01AH002	TOBIQUE RIVER AT RILEY BROOK	NB	Active
01AH003	TOBIQUE RIVER AT PLASTER ROCK	NB	Discontinued
01AH004	TOBIQUE RIVER AT NARROWS	NB	Discontinued
01AH005	MAMOZEKEL RIVER NEAR CAMPBELL RIVER	NB	Discontinued
01AJ001	SAINT JOHN RIVER NEAR EAST FLORENCEVILLE	NB	Discontinued
01AJ002	SAINT JOHN RIVER AT WOODSTOCK	NB	Discontinued
01AJ003	MEDUXNEKEAG RIVER NEAR BELLEVILLE	NB	Active
01AJ004	BIG PRESQUE ISLE STREAM AT TRACEY MILLS	NB	Active
01AJ005	SAINT JOHN RIVER AT HARTLAND	NB	Discontinued
01AJ006	HOLMES BROOK AT MOOSE MOUNTAIN	NB	Discontinued
01AJ007	HOLMES BROOK NEAR HOLMESVILLE	NB	Discontinued
01AJ008	SAINT JOHN RIVER AT HARTLAND SALMON POOL	NB	Discontinued
01AJ009	SAINT JOHN RIVER AT SIMONDS	NB	Discontinued
01AJ010	BECAGUIMEC STREAM AT COLDSTREAM	NB	Active
01AJ011	COLD STREAM AT COLDSTREAM	NB	Discontinued
01AJ012	SAINT JOHN RIVER AT BEECHWOOD GENERATING STATION	NB	Discontinued
01AJ013	LITTLE PRESQUE ISLE STREAM NEAR WATERVILLE	NB	Discontinued
01AK001	SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY	NB	Active
01AK002	SAINT JOHN RIVER AT POKIOK	NB	Discontinued
01AK003	SAINT JOHN RIVER AT FREDERICTON	NB	Active
01AK004	SAINT JOHN RIVER BELOW MACTAQUAC	NB	Discontinued
01AK005	MIDDLE BRANCH NASHWAAKSIS STREAM NEAR ROYAL ROAD	NB	Discontinued
01AK006	MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM	NB	Active
01AK007	NACKAWIC STREAM NEAR TEMPERANCE VALE	NB	Active
01AK008	EEL RIVER NEAR SCOTT SIDING	NB	Discontinued
01AK009	SAINT JOHN RIVER AT MACTAQUAC GENERATING STATION	NB	Discontinued
01AK010	SAINT JOHN RIVER AT MACTAQUAC GENERATING STATION	NB	Discontinued
01AL001	NASHWAAK RIVER AT PENNIAC	NB	Discontinued
01AL002	NASHWAAK RIVER AT DURHAM BRIDGE	NB	Active
01AL003	HAYDEN BROOK NEAR NARROWS MOUNTAIN	NB	Discontinued
01AL004	NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN	NB	Active
01AL005	"NARROWS MOUNTAIN BROOK, BRANCH NO.1, NEAR NARROWS MOUNTAIN"	NB	Discontinued
01AL006	"NARROWS MOUNTAIN BROOK, BRANCH NO.2, NEAR NARROWS MOUNTAIN"	NB	Discontinued
01AL007	"NARROWS MOUNTAIN BROOK, BRANCH NO.3, NEAR NARROWS MOUNTAIN"	NB	Discontinued
01AL008	NASHWAAK RIVER AT STANLEY	NB	Discontinued
01AM001	NORTH BRANCH OROMOCTO RIVER AT TRACY	NB	Active
01AN001	CASTAWAY STREAM NEAR CASTAWAY	NB	Discontinued
01AN002	SALMON RIVER AT CASTAWAY	NB	Active
01AO001	SAINT JOHN RIVER AT OROMOCTO	NB	Discontinued
01AO002	SAINT JOHN RIVER AT MAUGERVILLE	NB	Active
